2016-06-25 13:53:16,772 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: java.pl.edu.pk:JavaProject:0.0.1-SNAPSHOT @ C:\Users\userek\Desktop\ItsMyFinalForm\JavaProject\pom.xml.
2016-06-25 13:53:18,857 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /JavaProject/src/main/java
2016-06-25 13:53:18,860 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /JavaProject/src/test/java
2016-06-25 13:53:21,221 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 9 sec
2016-06-25 13:53:24,599 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-25 13:53:24,606 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\userek\Desktop\ItsMyFinalForm\JavaProject\src\main\resources
2016-06-25 13:53:24,612 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-25 13:53:24,616 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\userek\Desktop\ItsMyFinalForm\JavaProject\src\test\resources
2016-06-25 13:53:43,831 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-25 13:53:43,835 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\userek\Desktop\ItsMyFinalForm\JavaProject\src\main\resources
2016-06-25 13:53:43,839 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-25 13:53:43,843 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\userek\Desktop\ItsMyFinalForm\JavaProject\src\test\resources
2016-06-25 13:56:49,495 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-06-25 14:31:00,199 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-06-25 14:31:12,907 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\userek\Desktop\ItsMyFinalForm\JavaProject
2016-06-25 14:31:12,908 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B package
2016-06-25 14:39:16,319 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-25 14:39:16,323 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\userek\Desktop\ItsMyFinalForm\JavaProject\src\main\resources
2016-06-25 14:39:16,327 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-25 14:39:16,331 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\userek\Desktop\ItsMyFinalForm\JavaProject\src\test\resources
